Hit By A Bus,Dumbbell,0,0,1,0,0,Single Arm Row,Incline Push Ups,High Plank With Shoulder Tap,Goblet Squat, ,
Core Worm,Step / Box / Bench,0,0,0,0,0,Step Up (Alternating),Bench Dips,Walk Out (Inch Worm),Plank With Shoulder Taps, ,
Shoulder Smash,Dumbbell,0,0,0,0,0,Chest Fly,Skull Crusher,Lateral Raise,Plank With Shoulder Tap, ,
Back Crack,Cables,0,0,0,0,0,Straight Arm Pull Down,Alternating Wood Chop,Cable Pull Through,Cable Row, ,
Booty Buster,Kettlebell,0,1,1,1,0,Goblet Squat,KB Swing,Reverse Lunge,High Plank Side Step Push Up, ,
Over 9000,Dumbbell,0,0,0,0,0,DB Pull Over,Bench Dips,Bench Toe Taps,Elevated Push Ups, ,
Chest Day Everyday,Dumbbell,0,0,0,0,0,Chest Fly,Skull Crusher,Walk Out (Inch Worm),Plank With Shoulder Tap, ,
Delta Force,Dumbbell,1,0,0,0,0,Chest Supported DB Row,Y-T-L,Chest Supported Reverse Fly,Reverse Snow Angels, ,
Booty Looty,Step / Box / Bench,1,1,0,0,0,Step Up (Alternating),Bench Dips,Lateral Lunge (Alternating),DB Push Press, ,
Core More,Swiss ball,0,0,0,0,0,Hip Raise,Hamstring Extension,Stir The Pot,Sit Through, ,
Get Spastic,Dumbbell,1,1,1,0,0,Reverse Lunge,DB Push Press,Squat With Heel Lift,Squat Hold With Toe Taps, ,
Calm Your Farm,Dumbbell,0,0,0,0,0,Chest Fly,Tricep Extension,Push Up,High Plank With Shoulder Tap, ,
Torture,Other,0,0,0,0,0,Inverted Row,Inverted Leg Lifts,Push Up,High Plank With Leg Lifts, ,
Do Ya Even Lift,Dumbbell,0,0,0,0,0,DB Chest Press,DB Pull Over,Leg Lifts,Single Arm Row, ,
Arm Your Farm,Dumbbell,0,0,0,0,0,DB Reverse Fly,Standing Alternating Hammer Curl,Standing DB Drag Curl,DB Renegade Row, ,
Hurts Tomorrow,Dumbbell,0,0,0,0,0,Spider Curl,Straight Arm Pull Back,Frontal Raise,Chest Supported DB Row, ,
Hurts Today,Dumbbell,0,1,1,0,0,Walking Lunge,Squat,Walking Lunge,Walk Out, ,
All The Pull,Cables,0,0,0,0,0,Straight Arm Pull Down,Tricep Extension,Face Pull,Bicep Curl, ,
Yeah Nah,Kettlebell,0,0,1,1,0,KB Swing,Goblet Squat,High Pull,Plank With Leg Lift, ,
RRRReady to Rumble,Bodyweight,0,0,0,0,0,Rotating Crunch,Rotating Hip Raise,Reverse Crunch,Reverse Plank, ,
Arm Pump,Dumbbell,1,0,0,0,0,DB Bicep Curl,DB Overhead Tricep Extension,DB Hammer Curl,DB Upright Row, ,
DB Ping Pong,Dumbbell,1,0,1,1,0,DB Halo,DB Swinging Squat,DB Lat Swing,DB Push Press, ,
Yeah The Lunges,Bodyweight,0,1,0,0,0,Forward Lunge,Lateral Lunge,Reverse Lunge,Curtsy Lunge, ,
Beach Body Ready,Dumbbell,1,0,0,0,0,DB Bent Over Curl,DB Overhead Tricep Extension,DB Bicep Curl,DB Bent Over Tricep Extension, ,
Yeah Nah Pt2,Bodyweight,0,0,0,0,0,Push Up,Sit Through,Up-Downs,High Plank With Shoulder Tap, ,
Burpes But Not Fun,Resistance Band,1,1,0,0,0,RB Side Step With Press,RB Upright Row,RB Lateral Lunge With Press,RB Curl Into Ohp, ,
Cover You In Rubber,Resistance Band,0,0,0,0,0,RB Pulldown,RB Reverse Curl,RB Tricep Pushdown,RB Oblique Crunch, ,
All The Kettlebells,Kettlebell,0,0,0,1,0,KB Swing,KB Clean L,KB Clean R,KB High Pull, ,
Do The Worm,Bodyweight,0,0,0,0,0,Push Up,Reverse Angels,Inch Worm (Walk Out),Mountain Climber, ,
Plank and Push Ups,Bodyweight,0,0,0,0,0,Push Up,Side Plank,Plank With Shoulder Tap,Side Plank, ,
Six Pack (XXXX),Bodyweight,0,0,0,0,0,Dead Bug,Ab Crunch,Reverse Crunch,Oblique Crunch, ,
Abducted,Resistance Band,0,0,0,0,0,Bridge Abduction,Seated Abduction,Standing Abduction,Kickbacks, ,
Lunges and Stuff,Bodyweight,0,1,1,0,0,Lunge With Leg Extension,Hindu Push-Up,Lunge With Leg Extension,Hindu Squat, ,
Barbell Launch,Barbell,0,0,0,0,0,Bb Front Raise,Bb Drag Curl,Bb Upright Row,Bb Over The Head, ,
Big Beards,Bodyweight,0,1,0,0,0,Arabesque R,Arabesque L,Reverse Lunge R,Reverse Lunge L, ,
Suffer Ring,Barbell,1,1,1,0,0,Overhead Press,Front Squats,Row,Reverse Lunge, ,
Solja Boi,Bodyweight,0,0,1,0,0,Plie Squats,Push Up,Rainbow Plank,Supermans, ,
Bend Over And Squat,Barbell,1,0,1,0,1,Jump Squats,Bent Over Row,Push Press,Reverse Grip Rows, ,
All Of The Soreness,Bodyweight,0,0,0,0,0,Reverse Crunches,Crunches,Side Planks,Hundreds, ,
Butt Is Burning,Bodyweight,0,0,1,0,0,Reverse Burpee,Walk out,Cossack Squats,Squat hold with pulse, ,
Looks Painful,Dumbbell,1,0,0,0,0,DB Clean and Press,DB Renegade Row,DB RDL,DB Push Press, ,
That Will Buff Out,Kettlebell,0,0,1,1,0,KB Swing,KB Pass Through L,KB High Pull,KB Pass Through R, ,
Quickie,Dumbbell,0,0,0,0,0,Curl to press,DB Renegade Row,Plank with DB slide,Alternating side plank, ,
Fan Belt,Resistance Band,1,0,1,0,0,RB face pull,RB rotations,RB row,RB pull aparts, ,
I'm Good Thanks,Dumbbell,1,1,1,0,0,DB Push Press,DB Forward Lunges,DB Front Squat,DB Renegade Row, ,
I'm Regretting This,Resistance Band,0,0,0,0,0,Banded Squats,Crab Walks,Frog Pumps,Glute Bridges, ,
Confusing,Swiss ball,0,0,0,0,0,Hamstring Curls,Crunches,Pushups,Hold Reverse Crunches, ,
Everything Hurts,Barbell,1,1,0,1,0,Snatch Grip RDL,Wide Grip Row,Overhead Press,Upright Row, ,
Simple,Bodyweight,0,0,0,0,0,Box Squats,Incline Pushups,Crunches,Glute Bridges, ,
Super Simple,Resistance Band,0,0,0,0,0,Crab Walks,Hamstring Curls,Glute Bridges,Pull apart, ,
Simple Part 2,Dumbbell,1,0,0,0,0,Overhead Press,Bicep Curls,Rows,Squat Hold w. Steering Wheel, ,
Soo Simple,Bodyweight,0,0,0,0,0,Bridge,Metronome,Toe Taps,Modified Plank Holds, ,
Simply Simple,Bodyweight,0,0,0,0,0,Superman,Bird Dog,Reverse Crunches,Standing Oblique Crunches, ,
,,0,0,0,0,0,,,,,,
,,0,0,0,0,0,,,,,,
,,0,0,0,0,0,,,,,,
,,0,0,0,0,0,,,,,,
,,0,0,0,0,0,,,,,,
,,0,0,0,0,0,,,,,,
